date,RP1,RP2,RP3,RP6,RP12
2/25/1997,0.033352734,0.032889575,0.034239693,0.033452089,0.029906376
2/26/1997,0.038068178,0.036910946,0.037594296,0.035661949,0.030360062
2/27/1997,0.04053428,0.039646366,0.040750851,0.03653759,0.03377012
2/28/1997,0.039454948,0.039081929,0.039832803,0.036730808,0.033901815
3/3/1997,0.038393616,0.039273158,0.039807603,0.036401783,0.033543017
3/4/1997,0.037893959,0.038848774,0.038944668,0.03664714,0.033634076
3/5/1997,0.033888378,0.034618742,0.036124437,0.035212,0.032620124
3/6/1997,0.037558878,0.036529972,0.037815451,0.035795366,0.03421683
3/7/1997,0.033839528,0.034707831,0.03610304,0.035294798,0.032800445
3/10/1997,0.03340351,0.032562966,0.034868766,0.033930529,0.032604641
3/11/1997,0.033897841,0.03305302,0.035201216,0.034108316,0.032795717
3/12/1997,0.03523098,0.03517493,0.037117031,0.035735174,0.033611258
3/13/1997,0.038320899,0.038989818,0.040035198,0.037930866,0.035666354
3/14/1997,0.035547048,0.037323408,0.038671139,0.037426225,0.03592378
3/17/1997,0.039668938,0.037579202,0.039625816,0.036706016,0.035894804
3/18/1997,0.041617266,0.039285247,0.040383061,0.037231019,0.035577179
3/19/1997,0.0427352,0.04084183,0.041570453,0.037981762,0.035962809
3/20/1997,0.04074319,0.040404816,0.04062224,0.037946531,0.03569712
3/21/1997,0.03539565,0.035345228,0.035672898,0.034985818,0.035111982
3/24/1997,0.034987285,0.03431979,0.035911826,0.035307415,0.026792485
3/25/1997,0.03355377,0.034240836,0.035260508,0.034762908,0.034468344
3/26/1997,0.029869197,0.031397947,0.032197495,0.033456587,0.034214619
3/27/1997,0.03691125,0.036022204,0.036051612,0.034277041,0.036033357
3/31/1997,0.042641098,0.039375569,0.038134567,0.036595992,0.034425074
4/1/1997,0.038898362,0.038265085,0.037204197,0.035759248,0.035106028
4/2/1997,0.041040804,0.038145311,0.036678326,0.035120563,0.034868849
4/3/1997,0.039374565,0.037123818,0.035889013,0.034463976,0.031886948
4/4/1997,0.032627469,0.0327238,0.032757938,0.032912432,0.031322749
4/7/1997,0.030102786,0.030811838,0.031151087,0.031806016,0.031154108
4/8/1997,0.029926545,0.03115048,0.031542224,0.032195913,0.031624039
4/9/1997,0.030930055,0.031573987,0.031700166,0.032225772,0.031746124
4/10/1997,0.032266131,0.032598945,0.032693175,0.033195364,0.031701077
4/11/1997,0.035432792,0.034489881,0.034080605,0.034234355,0.033959309
4/14/1997,0.032639308,0.033162692,0.033009506,0.033164051,0.034389749
4/15/1997,0.030329961,0.031093388,0.031303549,0.031800359,0.031606271
4/16/1997,0.028049456,0.029299783,0.029940738,0.031141591,0.031905123
4/17/1997,0.030882853,0.031083391,0.031224457,0.031728205,0.032204281
4/18/1997,0.031231189,0.031107626,0.03104048,0.031670483,0.032245942
4/21/1997,0.034626434,0.033403176,0.023867874,0.032262253,0.031993751
4/22/1997,0.03467969,0.033762922,0.026836822,0.032505347,0.033409379
4/23/1997,0.036962401,0.035111898,0.028339555,0.034432621,0.034369562
4/24/1997,0.037147629,0.035664936,0.028654324,0.034438478,0.035349843
4/25/1997,0.038530629,0.03598315,0.030575174,0.035387302,0.034886629
4/28/1997,0.039146929,0.03495768,0.030130728,0.034623908,0.034962791
4/29/1997,0.034496592,0.031324964,0.027593253,0.034250395,0.033575894
4/30/1997,0.034444095,0.030711727,0.027252196,0.033148677,0.030504799
5/1/1997,0.033798673,0.03025703,0.027920272,0.033568244,0.033073257
5/2/1997,0.027531244,0.024840516,0.023455905,0.031118197,0.030002814
5/5/1997,0.034445371,0.023273836,0.021998793,0.032638062,0.029728327
5/6/1997,0.037146899,0.035363617,0.034415183,0.033996537,0.031116436
5/7/1997,0.037754644,0.035448025,0.034844013,0.035300983,0.033052396
5/8/1997,0.037934574,0.036080671,0.035290754,0.035365386,0.033141814
5/9/1997,0.036162568,0.035613833,0.035217529,0.035882701,0.03387585
5/12/1997,0.039295208,0.03485545,0.034280162,0.034471385,0.031094325
5/13/1997,0.042391905,0.035994473,0.035641304,0.035507348,0.031324413
5/14/1997,0.042025626,0.036996515,0.036510814,0.036431927,0.031820375
5/15/1997,0.037633956,0.033904356,0.033583961,0.034083489,0.032240041
5/16/1997,0.045115366,0.037440032,0.037167791,0.036314036,0.032232099
5/19/1997,0.042827658,0.037424771,0.021941504,0.036083488,0.032568395
5/20/1997,0.034338617,0.033437693,0.021302082,0.034516334,0.032426525
5/21/1997,0.034015769,0.03329973,0.021905618,0.034961625,0.032326766
5/22/1997,0.032408715,0.031912482,0.022427834,0.034468093,0.032058593
5/23/1997,0.029927327,0.029155275,0.02149802,0.033630224,0.031808648
5/27/1997,0.034249446,0.028641071,0.024078421,0.035213918,0.031938259
5/28/1997,0.034011458,0.033545501,0.0338743,0.034601771,0.032834242
5/29/1997,0.032831323,0.035116954,0.036990711,0.034830268,0.032510661
5/30/1997,0.033274486,0.034052425,0.035177294,0.034610484,0.032705475
6/2/1997,0.034759959,0.028318991,0.029684792,0.034965965,0.03266561
6/3/1997,0.035411916,0.028403806,0.029936828,0.034850479,0.032637969
6/4/1997,0.036021236,0.039894462,0.038356212,0.035271672,0.03278097
6/5/1997,0.037066849,0.039559389,0.037762563,0.03527257,0.032915987
6/6/1997,0.032540687,0.026183061,0.030608634,0.03407727,0.030156093
6/9/1997,0.033284396,0.033135407,0.034075345,0.034722239,0.030788342
6/10/1997,0.031990931,0.032257361,0.033887495,0.035009436,0.030583391
6/11/1997,0.032301515,0.024296352,0.031916044,0.035130633,0.03052401
6/12/1997,0.029672384,0.019874923,0.03064939,0.033975231,0.028092693
6/13/1997,0.03243587,0.034257433,0.035032505,0.036043713,0.029235638
6/16/1997,0.035261832,0.028735817,0.034400012,0.036880838,0.029520154
6/17/1997,0.037597268,0.034152763,0.034174942,0.036041287,0.029529205
6/18/1997,0.038612526,0.034468436,0.035077196,0.036006591,0.029744886
6/19/1997,0.037069068,0.032825059,0.0337597,0.036101801,0.029201343
6/20/1997,0.036904937,0.037081738,0.033857782,0.036514825,0.029858828
6/23/1997,0.043649494,0.04322382,0.037347304,0.036842585,0.031312895
6/24/1997,0.039026268,0.037472573,0.034783161,0.035902697,0.029206001
6/25/1997,0.041524401,0.039550481,0.036508464,0.037576462,0.033810324
6/26/1997,0.042711279,0.04079526,0.038080444,0.038455528,0.034322962
